instant,dteday_x,season_x,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,dteday_y,season_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
1,2011-01-01,Spring,0,1,0,6,0,2,1,2,80.58330000000001,16.0446,331,654,985,2011-01-01,Spring,0,1,0,0,6,0,1,-4,-1,81.0,0.0,3,13,16
2,2011-01-02,Spring,0,1,0,0,0,2,2,1,69.6087,24.8539,131,670,801,2011-01-01,Spring,0,1,1,0,6,0,1,-5,-2,80.0,0.0,8,32,40
3,2011-01-03,Spring,0,1,0,1,1,1,-6,-7,43.7273,24.8309,120,1229,1349,2011-01-01,Spring,0,1,2,0,6,0,1,-5,-2,80.0,0.0,5,27,32
4,2011-01-04,Spring,0,1,0,2,1,1,-6,-5,59.0435,16.0296,108,1454,1562,2011-01-01,Spring,0,1,3,0,6,0,1,-4,-1,75.0,0.0,3,10,13
5,2011-01-05,Spring,0,1,0,3,1,1,-5,-5,43.695699999999995,18.69,82,1518,1600,2011-01-01,Spring,0,1,4,0,6,0,1,-4,-1,75.0,0.0,0,1,1
6,2011-01-06,Spring,0,1,0,4,1,1,-6,-4,51.8261,8.95652,88,1518,1606,2011-01-01,Spring,0,1,5,0,6,0,2,-4,-3,75.0,8.959999999999999,0,1,1
7,2011-01-07,Spring,0,1,0,5,1,2,-6,-6,49.8696,16.8726,148,1362,1510,2011-01-01,Spring,0,1,6,0,6,0,1,-5,-2,80.0,0.0,2,0,2
8,2011-01-08,Spring,0,1,0,6,0,2,-8,-8,53.5833,26.6804,68,891,959,2011-01-01,Spring,0,1,7,0,6,0,1,-6,-3,86.0,0.0,1,2,3
9,2011-01-09,Spring,0,1,0,0,0,1,-10,-11,43.416700000000006,36.195,54,768,822,2011-01-01,Spring,0,1,8,0,6,0,1,-4,-1,75.0,0.0,1,7,8
10,2011-01-10,Spring,0,1,0,1,1,1,-9,-9,48.2917,22.3267,41,1280,1321,2011-01-01,Spring,0,1,9,0,6,0,1,0,1,76.0,0.0,8,6,14
11,2011-01-11,Spring,0,1,0,2,1,2,-8,-7,68.6364,12.2132,43,1220,1263,2011-01-01,Spring,0,1,10,0,6,0,1,3,4,76.0,25.369999999999997,12,24,36
12,2011-01-12,Spring,0,1,0,3,1,1,-8,-8,59.954499999999996,30.462699999999998,25,1137,1162,2011-01-01,Spring,0,1,11,0,6,0,1,2,0,81.0,28.360000000000003,26,30,56
